date,miner,blocks,percent
2015-07-30,*Outros,13824,2.0
2015-07-31,*Outros,6863,1.0
2015-08-01,*Outros,5293,1.0
2015-08-02,*Outros,5358,1.0
2015-08-03,*Outros,5280,1.0
2015-08-04,*Outros,5368,1.0
2015-08-05,*Outros,5235,1.0
2015-08-06,*Outros,5116,1.0
2015-08-07,*Outros,5189,1.0
2015-08-08,*Outros,5256,1.0
2015-08-09,*Outros,5123,1.0
2015-08-10,*Outros,5255,1.0
2015-08-11,*Outros,5280,1.0
2015-08-12,*Outros,5124,1.0
2015-08-13,*Outros,5286,1.0
2015-08-14,*Outros,5809,1.0
2015-08-15,*Outros,5382,1.0
2015-08-16,*Outros,5132,1.0
2015-08-17,*Outros,5347,1.0
2015-08-18,*Outros,4934,0.9971705739692805
2015-08-18,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,14,0.0028294260307194824
2015-08-19,*Outros,4978,0.9587827426810478
2015-08-19,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,214,0.04121725731895223
2015-08-20,*Outros,3618,0.8991053677932406
2015-08-20,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,406,0.10089463220675944
2015-08-21,*Outros,4181,0.8217374213836478
2015-08-21,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,907,0.1782625786163522
2015-08-22,*Outros,3976,0.7543160690571049
2015-08-22,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1295,0.2456839309428951
2015-08-23,*Outros,3977,0.7933373229603032
2015-08-23,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1036,0.2066626770396968
2015-08-24,*Outros,4231,0.8161651234567902
2015-08-24,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,953,0.18383487654320987
2015-08-25,*Outros,3833,0.7520109868550128
2015-08-25,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1264,0.24798901314498725
2015-08-26,*Outros,3543,0.7081750949430342
2015-08-26,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1460,0.29182490505696584
2015-08-27,*Outros,3220,0.6839422259983008
2015-08-27,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1488,0.3160577740016992
2015-08-28,*Outros,3064,0.6584998925424458
2015-08-28,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1589,0.34150010745755427
2015-08-29,*Outros,2720,0.6283206283206283
2015-08-29,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1603,0.3702933702933703
2015-08-29,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,6,0.001386001386001386
2015-08-30,*Outros,2548,0.61323706377858
2015-08-30,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1569,0.3776173285198556
2015-08-30,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,38,0.00914560770156438
2015-08-31,*Outros,2466,0.5982532751091703
2015-08-31,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1601,0.38840368753032506
2015-08-31,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,55,0.013343037360504609
2015-09-01,*Outros,2437,0.6188420518029456
2015-09-01,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1416,0.3595733875063484
2015-09-01,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,85,0.021584560690705943
2015-09-02,*Outros,2351,0.6572546826949958
2015-09-02,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1140,0.3187028235951915
2015-09-02,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,86,0.024042493709812693
2015-09-03,*Outros,2213,0.6541531185338457
2015-09-03,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1122,0.3316582914572864
2015-09-03,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,48,0.01418859000886787
2015-09-04,*Outros,2915,0.6560882286743192
2015-09-04,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1445,0.3252306999774927
2015-09-04,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,83,0.018681071348188163
2015-09-05,*Outros,3261,0.6626701889859784
2015-09-05,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1553,0.315586262954684
2015-09-05,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,107,0.021743548059337533
2015-09-06,*Outros,3255,0.6538770590598634
