date,guessed_miner,blocks,percent
2017-08-01,*Desconhecido,11,0.12359550561797752
2017-08-01,AntPool,17,0.19101123595505617
2017-08-01,BTC.TOP,9,0.10112359550561797
2017-08-01,BTC.com,7,0.07865168539325842
2017-08-01,BTCC Pool,2,0.02247191011235955
2017-08-01,BW.COM,1,0.011235955056179775
2017-08-01,BitClub Network,4,0.0449438202247191
2017-08-01,BitFury,7,0.07865168539325842
2017-08-01,Bixin,5,0.056179775280898875
2017-08-01,F2Pool,9,0.10112359550561797
2017-08-01,GBMiners,3,0.033707865168539325
2017-08-01,SlushPool,3,0.033707865168539325
2017-08-01,Telco 214,1,0.011235955056179775
2017-08-01,ViaBTC,10,0.11235955056179775
2017-08-02,*Desconhecido,7,1.0
2017-08-03,*Desconhecido,25,0.7142857142857143
2017-08-03,Bitcoin.com,2,0.05714285714285714
2017-08-03,ViaBTC,8,0.22857142857142856
2017-08-04,*Desconhecido,12,0.631578947368421
2017-08-04,ViaBTC,7,0.3684210526315789
2017-08-05,*Desconhecido,8,0.6153846153846154
2017-08-05,Bitcoin.com,2,0.15384615384615385
2017-08-05,ViaBTC,3,0.23076923076923078
2017-08-06,*Desconhecido,59,0.9076923076923077
2017-08-06,BitClub Network,5,0.07692307692307693
2017-08-06,ViaBTC,1,0.015384615384615385
2017-08-07,*Desconhecido,75,0.9615384615384616
2017-08-07,BitClub Network,1,0.01282051282051282
2017-08-07,ViaBTC,2,0.02564102564102564
2017-08-08,*Desconhecido,19,0.8260869565217391
2017-08-08,BitClub Network,1,0.043478260869565216
2017-08-08,ViaBTC,3,0.13043478260869565
2017-08-09,*Desconhecido,91,0.9578947368421052
2017-08-09,ViaBTC,4,0.042105263157894736
2017-08-10,*Desconhecido,94,0.94
2017-08-10,BitClub Network,4,0.04
2017-08-10,ViaBTC,2,0.02
2017-08-11,*Desconhecido,59,0.8805970149253731
2017-08-11,BitClub Network,3,0.04477611940298507
2017-08-11,ViaBTC,5,0.07462686567164178
2017-08-12,*Desconhecido,66,0.9166666666666666
2017-08-12,BitClub Network,3,0.041666666666666664
2017-08-12,ViaBTC,3,0.041666666666666664
2017-08-13,*Desconhecido,70,0.8974358974358975
2017-08-13,BitClub Network,3,0.038461538461538464
2017-08-13,ViaBTC,5,0.0641025641025641
2017-08-14,*Desconhecido,84,0.9230769230769231
2017-08-14,BitClub Network,4,0.04395604395604396
2017-08-14,ViaBTC,3,0.03296703296703297
2017-08-15,*Desconhecido,110,0.9821428571428571
2017-08-15,ViaBTC,2,0.017857142857142856
2017-08-16,*Desconhecido,78,0.9285714285714286
2017-08-16,BitClub Network,5,0.05952380952380952
2017-08-16,ViaBTC,1,0.011904761904761904
2017-08-17,*Desconhecido,60,0.9230769230769231
2017-08-17,BitClub Network,4,0.06153846153846154
2017-08-17,ViaBTC,1,0.015384615384615385
2017-08-18,*Desconhecido,60,0.9230769230769231
2017-08-18,BitClub Network,3,0.046153846153846156
2017-08-18,ViaBTC,2,0.03076923076923077
2017-08-19,*Desconhecido,99,0.7557251908396947
2017-08-19,BitClub Network,1,0.007633587786259542
2017-08-19,ViaBTC,31,0.2366412213740458
2017-08-20,*Desconhecido,313,0.6745689655172413
2017-08-20,AntPool,7,0.015086206896551725
2017-08-20,BTC.com,5,0.010775862068965518
2017-08-20,BitClub Network,9,0.01939655172413793
2017-08-20,Bitcoin.com,6,0.01293103448275862
2017-08-20,ViaBTC,124,0.2672413793103448
2017-08-21,*Desconhecido,419,0.5484293193717278
2017-08-21,AntPool,41,0.05366492146596859
2017-08-21,BATPOOL,14,0.01832460732984293
2017-08-21,BTC.com,31,0.04057591623036649
2017-08-21,BitClub Network,7,0.009162303664921465
2017-08-21,Bitcoin.com,8,0.010471204188481676
2017-08-21,ViaBTC,244,0.3193717277486911
2017-08-22,*Desconhecido,303,0.3543859649122807
2017-08-22,AntPool,63,0.07368421052631578
2017-08-22,BATPOOL,16,0.01871345029239766
2017-08-22,BTC.TOP,87,0.10175438596491228
2017-08-22,BTC.com,41,0.047953216374269005
2017-08-22,BitClub Network,4,0.004678362573099415
2017-08-22,Bitcoin.com,5,0.005847953216374269
2017-08-22,F2Pool,113,0.13216374269005848
2017-08-22,ViaBTC,223,0.2608187134502924
2017-08-23,*Desconhecido,8,0.36363636363636365
2017-08-23,AntPool,2,0.09090909090909091
2017-08-23,BTC.com,2,0.09090909090909091
2017-08-23,BitClub Network,1,0.045454545454545456
2017-08-23,ViaBTC,9,0.4090909090909091
2017-08-24,*Desconhecido,93,0.1634446397188049
2017-08-24,AntPool,34,0.05975395430579965
2017-08-24,BTC.TOP,139,0.24428822495606328
2017-08-24,BTC.com,15,0.026362038664323375
2017-08-24,BitClub Network,3,0.005272407732864675
2017-08-24,Bitcoin.com,8,0.014059753954305799
2017-08-24,F2Pool,122,0.21441124780316345
2017-08-24,ViaBTC,155,0.27240773286467485
2017-08-25,*Desconhecido,143,0.20784883720930233
2017-08-25,AntPool,55,0.07994186046511628
2017-08-25,BTC.TOP,169,0.24563953488372092
2017-08-25,BTC.com,12,0.01744186046511628
2017-08-25,Bitcoin.com,17,0.024709302325581394
2017-08-25,F2Pool,127,0.18459302325581395
2017-08-25,ViaBTC,165,0.23982558139534885
2017-08-26,*Desconhecido,153,0.22633136094674555
2017-08-26,AntPool,49,0.07248520710059171
2017-08-26,BTC.TOP,131,0.1937869822485207
2017-08-26,BTC.com,16,0.023668639053254437
2017-08-26,BitClub Network,1,0.0014792899408284023
2017-08-26,Bitcoin.com,10,0.014792899408284023
2017-08-26,F2Pool,116,0.17159763313609466
2017-08-26,ViaBTC,200,0.2958579881656805
2017-08-27,*Desconhecido,10,0.23255813953488372
2017-08-27,AntPool,7,0.16279069767441862
2017-08-27,BTC.TOP,4,0.09302325581395349
2017-08-27,BTC.com,1,0.023255813953488372
2017-08-27,BitClub Network,1,0.023255813953488372
2017-08-27,Bitcoin.com,1,0.023255813953488372
2017-08-27,ViaBTC,19,0.4418604651162791
2017-08-28,*Desconhecido,103,0.5919540229885057
2017-08-28,AntPool,25,0.14367816091954022
2017-08-28,BTC.TOP,28,0.16091954022988506
2017-08-28,BitClub Network,2,0.011494252873563218
2017-08-28,Bitcoin.com,3,0.017241379310344827
