date,guessed_miner,blocks,percent
2020-01-01,*Desconhecido,164,0.3020257826887661
2020-01-01,AntPool,174,0.32044198895027626
2020-01-01,CybtcPool,147,0.27071823204419887
2020-01-01,F2Pool,33,0.06077348066298342
2020-01-01,Poolin.com,15,0.027624309392265192
2020-01-01,ViaBTC,10,0.01841620626151013
2020-01-02,*Desconhecido,146,0.26545454545454544
2020-01-02,AntPool,226,0.4109090909090909
2020-01-02,CybtcPool,116,0.2109090909090909
2020-01-02,F2Pool,38,0.06909090909090909
2020-01-02,Poolin.com,18,0.03272727272727273
2020-01-02,ViaBTC,6,0.01090909090909091
2020-01-03,*Desconhecido,120,0.21937842778793418
2020-01-03,AntPool,189,0.34552102376599636
2020-01-03,CybtcPool,162,0.2961608775137112
2020-01-03,F2Pool,48,0.08775137111517367
2020-01-03,Poolin.com,16,0.029250457038391225
2020-01-03,ViaBTC,12,0.021937842778793418
2020-01-04,*Desconhecido,169,0.30341113105924594
2020-01-04,AntPool,150,0.26929982046678635
2020-01-04,CybtcPool,176,0.31597845601436264
2020-01-04,F2Pool,40,0.0718132854578097
2020-01-04,Poolin.com,17,0.03052064631956912
2020-01-04,ViaBTC,5,0.008976660682226212
2020-01-05,*Desconhecido,148,0.27007299270072993
2020-01-05,AntPool,149,0.2718978102189781
2020-01-05,CybtcPool,178,0.3248175182481752
2020-01-05,F2Pool,43,0.07846715328467153
2020-01-05,Poolin.com,16,0.029197080291970802
2020-01-05,ViaBTC,14,0.025547445255474453
2020-01-06,*Desconhecido,163,0.29744525547445255
2020-01-06,AntPool,128,0.23357664233576642
2020-01-06,CybtcPool,180,0.3284671532846715
2020-01-06,F2Pool,46,0.08394160583941605
2020-01-06,Poolin.com,20,0.0364963503649635
2020-01-06,ViaBTC,11,0.020072992700729927
2020-01-07,*Desconhecido,159,0.2906764168190128
2020-01-07,AntPool,211,0.3857404021937843
2020-01-07,CybtcPool,131,0.23948811700182815
2020-01-07,F2Pool,24,0.043875685557586835
2020-01-07,Poolin.com,19,0.03473491773308958
2020-01-07,ViaBTC,3,0.005484460694698354
2020-01-08,*Desconhecido,172,0.31103074141048825
2020-01-08,AntPool,192,0.3471971066907776
2020-01-08,CybtcPool,133,0.24050632911392406
2020-01-08,F2Pool,27,0.048824593128390596
2020-01-08,Poolin.com,20,0.03616636528028933
2020-01-08,ViaBTC,9,0.0162748643761302
2020-01-09,*Desconhecido,163,0.2958257713248639
2020-01-09,AntPool,163,0.2958257713248639
2020-01-09,CybtcPool,161,0.29219600725952816
2020-01-09,F2Pool,38,0.06896551724137931
2020-01-09,Poolin.com,20,0.036297640653357534
2020-01-09,ViaBTC,6,0.010889292196007259
2020-01-10,*Desconhecido,141,0.2596685082872928
2020-01-10,AntPool,185,0.3406998158379374
2020-01-10,CybtcPool,160,0.2946593001841621
2020-01-10,F2Pool,29,0.053406998158379376
2020-01-10,Poolin.com,17,0.03130755064456722
2020-01-10,ViaBTC,11,0.020257826887661142
2020-01-11,*Desconhecido,163,0.30129390018484287
2020-01-11,AntPool,190,0.3512014787430684
2020-01-11,CybtcPool,133,0.24584103512014788
2020-01-11,F2Pool,30,0.05545286506469501
2020-01-11,Poolin.com,17,0.031423290203327174
2020-01-11,ViaBTC,8,0.014787430683918669
2020-01-12,*Desconhecido,166,0.2996389891696751
2020-01-12,AntPool,208,0.37545126353790614
2020-01-12,CybtcPool,116,0.20938628158844766
2020-01-12,F2Pool,28,0.05054151624548736
2020-01-12,Poolin.com,26,0.04693140794223827
2020-01-12,ViaBTC,10,0.018050541516245487
2020-01-13,*Desconhecido,196,0.35766423357664234
2020-01-13,AntPool,210,0.38321167883211676
2020-01-13,CybtcPool,77,0.14051094890510948
2020-01-13,F2Pool,30,0.05474452554744526
2020-01-13,Poolin.com,22,0.040145985401459854
2020-01-13,ViaBTC,13,0.023722627737226276
2020-01-14,*Desconhecido,211,0.3767857142857143
2020-01-14,AntPool,188,0.3357142857142857
2020-01-14,CybtcPool,105,0.1875
2020-01-14,F2Pool,24,0.04285714285714286
2020-01-14,Poolin.com,20,0.03571428571428571
2020-01-14,ViaBTC,12,0.02142857142857143
2020-01-15,*Desconhecido,146,0.27037037037037037
2020-01-15,AntPool,182,0.337037037037037
2020-01-15,CybtcPool,128,0.23703703703703705
2020-01-15,F2Pool,31,0.05740740740740741
2020-01-15,Poolin.com,29,0.053703703703703705
2020-01-15,ViaBTC,24,0.044444444444444446
2020-01-16,*Desconhecido,140,0.2536231884057971
2020-01-16,AntPool,194,0.35144927536231885
2020-01-16,CybtcPool,139,0.25181159420289856
2020-01-16,F2Pool,33,0.059782608695652176
2020-01-16,Poolin.com,22,0.03985507246376811
2020-01-16,ViaBTC,24,0.043478260869565216
2020-01-17,*Desconhecido,138,0.25321100917431194
2020-01-17,AntPool,186,0.3412844036697248
2020-01-17,CybtcPool,146,0.26788990825688075
2020-01-17,F2Pool,33,0.060550458715596334
2020-01-17,Poolin.com,25,0.045871559633027525
2020-01-17,ViaBTC,17,0.031192660550458717
2020-01-18,*Desconhecido,169,0.31066176470588236
2020-01-18,AntPool,195,0.3584558823529412
2020-01-18,CybtcPool,98,0.1801470588235294
2020-01-18,F2Pool,39,0.07169117647058823
2020-01-18,Poolin.com,22,0.04044117647058824
2020-01-18,ViaBTC,21,0.03860294117647059
2020-01-19,*Desconhecido,111,0.2032967032967033
2020-01-19,AntPool,184,0.336996336996337
2020-01-19,CybtcPool,129,0.23626373626373626
2020-01-19,F2Pool,71,0.13003663003663005
2020-01-19,Poolin.com,28,0.05128205128205128
2020-01-19,ViaBTC,23,0.04212454212454213
2020-01-20,*Desconhecido,156,0.2831215970961887
2020-01-20,AntPool,172,0.3121597096188748
2020-01-20,CybtcPool,133,0.2413793103448276
2020-01-20,F2Pool,38,0.06896551724137931
2020-01-20,Poolin.com,24,0.043557168784029036
2020-01-20,ViaBTC,28,0.050816696914700546
2020-01-21,*Desconhecido,144,0.263254113345521
2020-01-21,AntPool,170,0.31078610603290674
