date,guessed_miner,blocks,percent
2020-01-01,*Desconhecido,20,0.03278688524590164
2020-01-01,AntPool,50,0.08196721311475409
2020-01-01,BTC.com,81,0.13278688524590163
2020-01-01,DPOOL,5,0.00819672131147541
2020-01-01,Easy2Mine,35,0.05737704918032787
2020-01-01,F2Pool,79,0.12950819672131147
2020-01-01,HuoBi,12,0.019672131147540985
2020-01-01,LTC.TOP,16,0.02622950819672131
2020-01-01,Poolin,130,0.21311475409836064
2020-01-01,Sigmapool,4,0.006557377049180328
2020-01-01,TBDice,3,0.004918032786885246
2020-01-01,ViaBTC,61,0.1
2020-01-01,gly.pool,34,0.05573770491803279
2020-01-01,litecoinpool.org,80,0.13114754098360656
2020-01-02,*Desconhecido,14,0.025925925925925925
2020-01-02,AntPool,34,0.06296296296296296
2020-01-02,BTC.com,84,0.15555555555555556
2020-01-02,DPOOL,2,0.003703703703703704
2020-01-02,Easy2Mine,34,0.06296296296296296
2020-01-02,F2Pool,55,0.10185185185185185
2020-01-02,HuoBi,7,0.012962962962962963
2020-01-02,LTC.TOP,8,0.014814814814814815
2020-01-02,Poolin,131,0.24259259259259258
2020-01-02,Sigmapool,3,0.005555555555555556
2020-01-02,TBDice,1,0.001851851851851852
2020-01-02,ViaBTC,52,0.0962962962962963
2020-01-02,gly.pool,30,0.05555555555555555
2020-01-02,litecoinpool.org,85,0.1574074074074074
2020-01-03,*Desconhecido,16,0.0273972602739726
2020-01-03,AntPool,45,0.07705479452054795
2020-01-03,BTC.com,72,0.1232876712328767
2020-01-03,DPOOL,4,0.00684931506849315
2020-01-03,Easy2Mine,46,0.07876712328767123
2020-01-03,F2Pool,84,0.14383561643835616
2020-01-03,HuoBi,14,0.023972602739726026
2020-01-03,LTC.TOP,13,0.02226027397260274
2020-01-03,Poolin,128,0.2191780821917808
2020-01-03,Sigmapool,2,0.003424657534246575
2020-01-03,TBDice,2,0.003424657534246575
2020-01-03,ViaBTC,58,0.09931506849315068
2020-01-03,gly.pool,37,0.06335616438356165
2020-01-03,litecoinpool.org,63,0.10787671232876712
2020-01-04,*Desconhecido,13,0.022033898305084745
2020-01-04,AntPool,39,0.06610169491525424
2020-01-04,BTC.com,78,0.13220338983050847
2020-01-04,DPOOL,3,0.005084745762711864
2020-01-04,Easy2Mine,40,0.06779661016949153
2020-01-04,F2Pool,78,0.13220338983050847
2020-01-04,HuoBi,10,0.01694915254237288
2020-01-04,LTC.TOP,12,0.020338983050847456
2020-01-04,Poolin,117,0.19830508474576272
2020-01-04,Sigmapool,2,0.003389830508474576
2020-01-04,TBDice,5,0.00847457627118644
2020-01-04,ViaBTC,81,0.13728813559322034
2020-01-04,gly.pool,29,0.04915254237288136
2020-01-04,litecoinpool.org,83,0.14067796610169492
2020-01-05,*Desconhecido,22,0.03697478991596639
2020-01-05,AntPool,57,0.0957983193277311
2020-01-05,BTC.com,60,0.10084033613445378
2020-01-05,DPOOL,6,0.010084033613445379
2020-01-05,Easy2Mine,34,0.05714285714285714
2020-01-05,F2Pool,63,0.10588235294117647
2020-01-05,HuoBi,13,0.021848739495798318
2020-01-05,LTC.TOP,9,0.015126050420168067
2020-01-05,Poolin,146,0.2453781512605042
2020-01-05,Sigmapool,2,0.0033613445378151263
2020-01-05,TBDice,3,0.005042016806722689
2020-01-05,ViaBTC,78,0.13109243697478992
2020-01-05,gly.pool,21,0.03529411764705882
2020-01-05,litecoinpool.org,81,0.1361344537815126
2020-01-06,*Desconhecido,18,0.028938906752411574
2020-01-06,AntPool,45,0.07234726688102894
2020-01-06,BTC.com,67,0.10771704180064309
2020-01-06,DPOOL,3,0.00482315112540193
2020-01-06,Easy2Mine,40,0.06430868167202572
2020-01-06,F2Pool,76,0.12218649517684887
2020-01-06,HuoBi,13,0.02090032154340836
2020-01-06,LTC.TOP,8,0.012861736334405145
2020-01-06,Poolin,148,0.2379421221864952
2020-01-06,Sigmapool,2,0.003215434083601286
2020-01-06,TBDice,1,0.001607717041800643
2020-01-06,ViaBTC,74,0.1189710610932476
2020-01-06,gly.pool,44,0.0707395498392283
2020-01-06,litecoinpool.org,83,0.13344051446945338
2020-01-07,*Desconhecido,24,0.0365296803652968
2020-01-07,AntPool,59,0.0898021308980213
2020-01-07,BTC.com,96,0.1461187214611872
2020-01-07,DPOOL,1,0.0015220700152207
2020-01-07,Easy2Mine,39,0.0593607305936073
2020-01-07,F2Pool,79,0.1202435312024353
2020-01-07,HuoBi,12,0.0182648401826484
2020-01-07,LTC.TOP,11,0.0167427701674277
2020-01-07,Poolin,132,0.2009132420091324
2020-01-07,Sigmapool,3,0.0045662100456621
2020-01-07,ViaBTC,84,0.1278538812785388
2020-01-07,gly.pool,39,0.0593607305936073
2020-01-07,litecoinpool.org,78,0.1187214611872146
2020-01-08,*Desconhecido,13,0.02066772655007949
2020-01-08,AntPool,51,0.08108108108108109
2020-01-08,BTC.com,96,0.15262321144674085
2020-01-08,DPOOL,5,0.00794912559618442
2020-01-08,Easy2Mine,48,0.07631160572337042
2020-01-08,F2Pool,67,0.10651828298887123
2020-01-08,HuoBi,5,0.00794912559618442
2020-01-08,LTC.TOP,12,0.019077901430842606
2020-01-08,Poolin,150,0.2384737678855326
2020-01-08,Sigmapool,1,0.001589825119236884
2020-01-08,TBDice,3,0.0047694753577106515
2020-01-08,ViaBTC,70,0.11128775834658187
2020-01-08,gly.pool,36,0.057233704292527825
2020-01-08,litecoinpool.org,72,0.11446740858505565
2020-01-09,*Desconhecido,17,0.030357142857142857
2020-01-09,AntPool,36,0.06428571428571428
2020-01-09,BTC.com,89,0.15892857142857142
2020-01-09,DPOOL,1,0.0017857142857142857
2020-01-09,Easy2Mine,33,0.05892857142857143
2020-01-09,F2Pool,69,0.12321428571428572
2020-01-09,HuoBi,6,0.010714285714285714
2020-01-09,LTC.TOP,10,0.017857142857142856
2020-01-09,Poolin,120,0.21428571428571427
2020-01-09,Sigmapool,5,0.008928571428571428
2020-01-09,TBDice,1,0.0017857142857142857
2020-01-09,ViaBTC,67,0.11964285714285715
2020-01-09,gly.pool,37,0.06607142857142857
2020-01-09,litecoinpool.org,69,0.12321428571428572
2020-01-10,*Desconhecido,20,0.03669724770642202
2020-01-10,AntPool,35,0.06422018348623854
2020-01-10,BTC.com,71,0.13027522935779817
2020-01-10,DPOOL,2,0.003669724770642202
2020-01-10,Easy2Mine,29,0.05321100917431193
2020-01-10,F2Pool,57,0.10458715596330276
2020-01-10,HuoBi,13,0.023853211009174313
2020-01-10,LTC.TOP,6,0.011009174311926606
2020-01-10,Poolin,131,0.24036697247706423
2020-01-10,Sigmapool,3,0.005504587155963303
2020-01-10,ViaBTC,65,0.11926605504587157
2020-01-10,gly.pool,30,0.05504587155963303
2020-01-10,litecoinpool.org,83,0.15229357798165138
2020-01-11,*Desconhecido,16,0.027586206896551724
2020-01-11,AntPool,48,0.08275862068965517
2020-01-11,BTC.com,80,0.13793103448275862
2020-01-11,DPOOL,5,0.008620689655172414
2020-01-11,Easy2Mine,29,0.05
2020-01-11,F2Pool,68,0.11724137931034483
2020-01-11,HuoBi,11,0.01896551724137931
2020-01-11,LTC.TOP,9,0.015517241379310345
2020-01-11,Poolin,129,0.22241379310344828
2020-01-11,Sigmapool,2,0.0034482758620689655
2020-01-11,TBDice,3,0.005172413793103448
2020-01-11,ViaBTC,68,0.11724137931034483
2020-01-11,gly.pool,33,0.056896551724137934
2020-01-11,litecoinpool.org,79,0.13620689655172413
2020-01-12,*Desconhecido,25,0.0390015600624025
2020-01-12,AntPool,61,0.09516380655226209
2020-01-12,BTC.com,84,0.1310452418096724
2020-01-12,DPOOL,5,0.0078003120124804995
2020-01-12,Easy2Mine,29,0.0452418096723869
2020-01-12,F2Pool,75,0.11700468018720749
2020-01-12,HuoBi,13,0.0202808112324493
2020-01-12,LTC.TOP,18,0.028081123244929798
2020-01-12,Poolin,148,0.23088923556942278
2020-01-12,Sigmapool,7,0.0109204368174727
2020-01-12,TBDice,2,0.0031201248049922
2020-01-12,ViaBTC,65,0.10140405616224649
2020-01-12,gly.pool,38,0.059282371294851796
2020-01-12,litecoinpool.org,71,0.11076443057722309
2020-01-13,*Desconhecido,17,0.030685920577617327
2020-01-13,AntPool,44,0.07942238267148015
2020-01-13,BTC.com,67,0.12093862815884476
2020-01-13,DPOOL,2,0.0036101083032490976
2020-01-13,Easy2Mine,39,0.0703971119133574
2020-01-13,F2Pool,82,0.148014440433213
2020-01-13,HuoBi,8,0.01444043321299639
2020-01-13,LTC.TOP,10,0.018050541516245487
2020-01-13,Poolin,114,0.20577617328519857
2020-01-13,TBDice,11,0.019855595667870037
2020-01-13,ViaBTC,66,0.11913357400722022
2020-01-13,gly.pool,21,0.03790613718411552
2020-01-13,litecoinpool.org,73,0.13176895306859207
2020-01-14,*Desconhecido,27,0.04655172413793104
2020-01-14,AntPool,57,0.09827586206896552
2020-01-14,BTC.com,77,0.13275862068965516
2020-01-14,DPOOL,7,0.01206896551724138
2020-01-14,Easy2Mine,31,0.05344827586206897
2020-01-14,F2Pool,72,0.12413793103448276
2020-01-14,HuoBi,5,0.008620689655172414
2020-01-14,LTC.TOP,10,0.017241379310344827
2020-01-14,Poolin,123,0.2120689655172414
2020-01-14,TBDice,3,0.005172413793103448
2020-01-14,ViaBTC,59,0.10172413793103448
2020-01-14,gly.pool,22,0.03793103448275862
2020-01-14,litecoinpool.org,87,0.15
2020-01-15,*Desconhecido,22,0.037996545768566495
2020-01-15,AntPool,37,0.06390328151986183
2020-01-15,BTC.com,70,0.12089810017271158
2020-01-15,DPOOL,2,0.0034542314335060447
2020-01-15,Easy2Mine,34,0.05872193436960276
2020-01-15,F2Pool,64,0.11053540587219343
2020-01-15,HuoBi,16,0.027633851468048358
2020-01-15,LTC.TOP,13,0.022452504317789293
2020-01-15,Poolin,135,0.23316062176165803
2020-01-15,Sigmapool,6,0.010362694300518135
2020-01-15,TBDice,3,0.0051813471502590676
2020-01-15,ViaBTC,70,0.12089810017271158
2020-01-15,gly.pool,39,0.06735751295336788
2020-01-15,litecoinpool.org,68,0.11744386873920552
2020-01-16,*Desconhecido,17,0.03046594982078853
2020-01-16,AntPool,39,0.06989247311827956
2020-01-16,BTC.com,93,0.16666666666666666
2020-01-16,DPOOL,1,0.0017921146953405018
2020-01-16,Easy2Mine,27,0.04838709677419355
2020-01-16,F2Pool,69,0.12365591397849462
2020-01-16,HuoBi,5,0.008960573476702509
2020-01-16,LTC.TOP,16,0.02867383512544803
2020-01-16,Poolin,96,0.17204301075268819
2020-01-16,Sigmapool,1,0.0017921146953405018
2020-01-16,TBDice,3,0.005376344086021506
2020-01-16,ViaBTC,73,0.13082437275985664
2020-01-16,gly.pool,41,0.07347670250896057
2020-01-16,litecoinpool.org,77,0.13799283154121864
2020-01-17,*Desconhecido,23,0.04389312977099236
2020-01-17,AntPool,42,0.08015267175572519
2020-01-17,BTC.com,73,0.13931297709923665
2020-01-17,Easy2Mine,30,0.05725190839694656
2020-01-17,F2Pool,64,0.12213740458015267
2020-01-17,HuoBi,1,0.0019083969465648854
