date,guessed_miner,blocks,percent
2020-01-01,*Desconhecido,73,0.41954022988505746
2020-01-01,*Outros,5,0.028735632183908046
2020-01-01,AntPool,19,0.10919540229885058
2020-01-01,BTC.TOP,8,0.04597701149425287
2020-01-01,BTC.com,17,0.09770114942528736
2020-01-01,F2Pool,29,0.16666666666666666
2020-01-01,SlushPool,10,0.05747126436781609
2020-01-01,ViaBTC,13,0.07471264367816093
2020-01-02,*Desconhecido,57,0.40425531914893614
2020-01-02,*Outros,2,0.014184397163120567
2020-01-02,AntPool,16,0.11347517730496454
2020-01-02,BTC.TOP,8,0.05673758865248227
2020-01-02,BTC.com,17,0.12056737588652482
2020-01-02,F2Pool,27,0.19148936170212766
2020-01-02,SlushPool,4,0.028368794326241134
2020-01-02,ViaBTC,10,0.07092198581560284
2020-01-03,*Desconhecido,71,0.42011834319526625
2020-01-03,*Outros,5,0.029585798816568046
2020-01-03,AntPool,17,0.10059171597633136
2020-01-03,BTC.TOP,5,0.029585798816568046
2020-01-03,BTC.com,23,0.13609467455621302
2020-01-03,F2Pool,25,0.14792899408284024
2020-01-03,SlushPool,7,0.04142011834319527
2020-01-03,ViaBTC,16,0.09467455621301775
2020-01-04,*Desconhecido,71,0.4226190476190476
2020-01-04,*Outros,2,0.011904761904761904
2020-01-04,AntPool,15,0.08928571428571429
2020-01-04,BTC.TOP,9,0.05357142857142857
2020-01-04,BTC.com,25,0.1488095238095238
2020-01-04,F2Pool,30,0.17857142857142858
2020-01-04,SlushPool,6,0.03571428571428571
2020-01-04,ViaBTC,10,0.05952380952380952
2020-01-05,*Desconhecido,62,0.3803680981595092
2020-01-05,*Outros,4,0.024539877300613498
2020-01-05,AntPool,17,0.10429447852760736
2020-01-05,BTC.TOP,4,0.024539877300613498
2020-01-05,BTC.com,16,0.09815950920245399
2020-01-05,F2Pool,34,0.2085889570552147
2020-01-05,SlushPool,9,0.05521472392638037
2020-01-05,ViaBTC,17,0.10429447852760736
2020-01-06,*Desconhecido,56,0.4148148148148148
2020-01-06,*Outros,5,0.037037037037037035
2020-01-06,AntPool,12,0.08888888888888889
2020-01-06,BTC.TOP,4,0.02962962962962963
2020-01-06,BTC.com,22,0.16296296296296298
2020-01-06,F2Pool,15,0.1111111111111111
2020-01-06,SlushPool,4,0.02962962962962963
2020-01-06,ViaBTC,17,0.1259259259259259
2020-01-07,*Desconhecido,81,0.4602272727272727
2020-01-07,*Outros,4,0.022727272727272728
2020-01-07,AntPool,21,0.11931818181818182
2020-01-07,BTC.TOP,5,0.028409090909090908
2020-01-07,BTC.com,13,0.07386363636363637
2020-01-07,F2Pool,35,0.19886363636363635
2020-01-07,SlushPool,10,0.056818181818181816
2020-01-07,ViaBTC,7,0.03977272727272727
2020-01-08,*Desconhecido,60,0.4225352112676056
2020-01-08,*Outros,2,0.014084507042253521
2020-01-08,AntPool,11,0.07746478873239436
2020-01-08,BTC.TOP,9,0.06338028169014084
2020-01-08,BTC.com,19,0.13380281690140844
2020-01-08,F2Pool,30,0.2112676056338028
2020-01-08,SlushPool,3,0.02112676056338028
2020-01-08,ViaBTC,8,0.056338028169014086
2020-01-09,*Desconhecido,69,0.4394904458598726
2020-01-09,*Outros,3,0.019108280254777073
2020-01-09,AntPool,21,0.1337579617834395
2020-01-09,BTC.TOP,8,0.050955414012738856
2020-01-09,BTC.com,19,0.12101910828025478
2020-01-09,F2Pool,21,0.1337579617834395
2020-01-09,SlushPool,8,0.050955414012738856
2020-01-09,ViaBTC,8,0.050955414012738856
2020-01-10,*Desconhecido,60,0.40268456375838924
2020-01-10,*Outros,5,0.03355704697986577
2020-01-10,AntPool,14,0.09395973154362416
2020-01-10,BTC.TOP,11,0.0738255033557047
2020-01-10,BTC.com,18,0.12080536912751678
2020-01-10,F2Pool,24,0.1610738255033557
2020-01-10,SlushPool,12,0.08053691275167785
2020-01-10,ViaBTC,5,0.03355704697986577
2020-01-11,*Desconhecido,70,0.4294478527607362
2020-01-11,*Outros,4,0.024539877300613498
2020-01-11,AntPool,8,0.049079754601226995
2020-01-11,BTC.TOP,6,0.03680981595092025
2020-01-11,BTC.com,20,0.12269938650306748
2020-01-11,F2Pool,37,0.22699386503067484
2020-01-11,SlushPool,9,0.05521472392638037
2020-01-11,ViaBTC,9,0.05521472392638037
2020-01-12,*Desconhecido,57,0.37748344370860926
2020-01-12,*Outros,6,0.039735099337748346
2020-01-12,AntPool,15,0.09933774834437085
2020-01-12,BTC.TOP,7,0.046357615894039736
2020-01-12,BTC.com,15,0.09933774834437085
2020-01-12,F2Pool,30,0.1986754966887417
2020-01-12,SlushPool,6,0.039735099337748346
2020-01-12,ViaBTC,15,0.09933774834437085
2020-01-13,*Desconhecido,52,0.36363636363636365
2020-01-13,*Outros,5,0.03496503496503497
2020-01-13,AntPool,22,0.15384615384615385
2020-01-13,BTC.TOP,4,0.027972027972027972
2020-01-13,BTC.com,17,0.11888111888111888
2020-01-13,F2Pool,27,0.1888111888111888
2020-01-13,SlushPool,5,0.03496503496503497
2020-01-13,ViaBTC,11,0.07692307692307693
2020-01-14,*Desconhecido,64,0.4413793103448276
2020-01-14,*Outros,5,0.034482758620689655
2020-01-14,AntPool,12,0.08275862068965517
2020-01-14,BTC.TOP,4,0.027586206896551724
2020-01-14,BTC.com,24,0.16551724137931034
2020-01-14,F2Pool,18,0.12413793103448276
2020-01-14,SlushPool,6,0.041379310344827586
2020-01-14,ViaBTC,12,0.08275862068965517
2020-01-15,*Desconhecido,62,0.4105960264900662
2020-01-15,*Outros,2,0.013245033112582781
2020-01-15,AntPool,14,0.09271523178807947
2020-01-15,BTC.TOP,4,0.026490066225165563
2020-01-15,BTC.com,18,0.11920529801324503
2020-01-15,F2Pool,27,0.17880794701986755
2020-01-15,SlushPool,13,0.08609271523178808
2020-01-15,ViaBTC,11,0.0728476821192053
2020-01-16,*Desconhecido,67,0.42138364779874216
2020-01-16,*Outros,4,0.025157232704402517
2020-01-16,AntPool,16,0.10062893081761007
2020-01-16,BTC.TOP,2,0.012578616352201259
2020-01-16,BTC.com,23,0.14465408805031446
2020-01-16,F2Pool,29,0.18238993710691823
2020-01-16,SlushPool,10,0.06289308176100629
2020-01-16,ViaBTC,8,0.050314465408805034
2020-01-17,*Desconhecido,67,0.42138364779874216
2020-01-17,*Outros,7,0.0440251572327044
2020-01-17,AntPool,18,0.11320754716981132
2020-01-17,BTC.TOP,5,0.031446540880503145
2020-01-17,BTC.com,14,0.0880503144654088
2020-01-17,F2Pool,28,0.1761006289308176
2020-01-17,SlushPool,8,0.050314465408805034
2020-01-17,ViaBTC,12,0.07547169811320754
2020-01-18,*Desconhecido,51,0.38636363636363635
2020-01-18,*Outros,8,0.06060606060606061
2020-01-18,AntPool,15,0.11363636363636363
2020-01-18,BTC.TOP,3,0.022727272727272728
2020-01-18,BTC.com,15,0.11363636363636363
2020-01-18,F2Pool,23,0.17424242424242425
2020-01-18,SlushPool,6,0.045454545454545456
2020-01-18,ViaBTC,11,0.08333333333333333
2020-01-19,*Desconhecido,67,0.44666666666666666
2020-01-19,*Outros,7,0.04666666666666667
2020-01-19,AntPool,10,0.06666666666666667
2020-01-19,BTC.TOP,3,0.02
2020-01-19,BTC.com,17,0.11333333333333333
2020-01-19,F2Pool,26,0.17333333333333334
2020-01-19,SlushPool,2,0.013333333333333334
2020-01-19,ViaBTC,18,0.12
2020-01-20,*Desconhecido,62,0.40789473684210525
2020-01-20,*Outros,1,0.006578947368421052
2020-01-20,AntPool,24,0.15789473684210525
2020-01-20,BTC.TOP,3,0.019736842105263157
